country_name,country_code,indicator_name,indicator_code,year,debt_value
Montenegro,MON,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2011,297505731.28968245
Samoa,SAM,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2011,1616528.652029951
Burkina Faso,BUR,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2011,30172650.99879467
Bosnia and Herzegovina,BOS,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,59223438.93649028
Tunisia,TUN,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2011,275241580.3680536
Peru,PER,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2011,207744298.55438253
Nepal,NEP,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2011,176155823.07629418
South Africa,SOU,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2011,160141276.64360815
Philippines,PHI,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2011,1536794440.9634876
Rwanda,RWA,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2011,112723465.2804178
Belize,BEL,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,107347018.17287168
Georgia,GEO,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2011,5291523338.813428
Vietnam,VIE,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,15441654.517879946
Uzbekistan,UZB,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,62051733.62982349
Ethiopia,ETH,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2011,119032658.03161056
Fiji,FIJ,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,5901375.988361546
Kazakhstan,KAZ,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2011,14749122.19480978
Kyrgyz Republic,KYR,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2011,14016372.328228047
Dominica,DOM,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2011,528550635.57883817
Djibouti,DJI,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2011,403419570.68358016
Mauritius,MAU,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,59032282.31558221
Ethiopia,ETH,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2011,149281902.12862593
North Macedonia,NOR,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2011,19243990.250721447
Montenegro,MON,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2011,981223742.2240496
Rwanda,RWA,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2011,28170340.462678805
Paraguay,PAR,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,68737197.96756673
"Venezuela, RB",VEN,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2011,2967470006.057657
Togo,TOG,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,22691276.90146927
Benin,BEN,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2011,2573825.267863464
Gabon,GAB,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,897298429.7694461
Sierra Leone,SIE,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2011,723539645.3048663
Bulgaria,BUL,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2011,81773638.65872344
Jamaica,JAM,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2011,101646844.15824364
Turkey,TUR,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2011,496733154.46555024
"Egypt, Arab Rep.",EGY,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2011,4736959.069251428
Ecuador,ECU,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,55370456.60947758
Myanmar,MYA,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2011,1687000405.228706
Jordan,JOR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2011,35289824.808129765
Zambia,ZAM,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,134629698.42614505
Philippines,PHI,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,2831305268.783503
Sudan,SUD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2011,693001159.4341581
Tunisia,TUN,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2011,143822660.6194607
Nepal,NEP,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2011,169867447.55917987
Kazakhstan,KAZ,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2011,15871857.634157935
Algeria,ALG,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,72324905.13790193
Tonga,TON,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,66610670.56882541
Mozambique,MOZ,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2011,378474419.3050798
Niger,NIG,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2011,43117696.04316571
Lebanon,LEB,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2011,1181490587.9710937
Ecuador,ECU,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2011,775224699.6582512
Malawi,MAL,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2011,3759210800.974556
North Macedonia,NOR,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2011,107802022.49089792
Sao Tome and Principe,SAO,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2011,40037040.81809182
Myanmar,MYA,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2011,1033281651.2300556
Liberia,LIB,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,23624151.02204669
"Congo, Rep.",CON,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,84127979.11746475
Papua New Guinea,PAP,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2011,857056953.0136423
Georgia,GEO,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,746608437.4503186
"Yemen, Rep.",YEM,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2011,193850920.86265767
Cambodia,CAM,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2011,209583338.46182376
Mexico,MEX,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2011,365194306.62221
Djibouti,DJI,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2011,1110016881.2107558
Costa Rica,COS,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2011,125770259.32675403
Paraguay,PAR,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2011,12432357.384815903
Bolivia,BOL,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2011,257330669.61130595
Sri Lanka,SRI,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2011,199691629.0742696
Gabon,GAB,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2011,6482075960.18423
Honduras,HON,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2011,67962032.06420602
"Venezuela, RB",VEN,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2011,1084942818.090535
Rwanda,RWA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2011,107902041.2146183
Angola,ANG,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2011,372527901.677925
El Salvador,EL ,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2011,444082716.5487583
St. Vincent and the Grenadines,ST.,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2011,49180517.92731559
Maldives,MAL,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2011,195154662.05814013
Zambia,ZAM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2011,1526262708.128443
St. Vincent and the Grenadines,ST.,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,331540621.3305335
Cambodia,CAM,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,143962864.51040512
"Congo, Rep.",CON,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,31594450.627146848
Guinea,GUI,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2011,44507611.94355309
Mexico,MEX,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2011,612665254.482644
Syrian Arab Republic,SYR,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,162391598.6129604
Gabon,GAB,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2011,12829201907.529827
Myanmar,MYA,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2011,1955136431.4350247
Lesotho,LES,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2011,103326866.96053313
Turkmenistan,TUR,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2011,1221785386.8779535
Kyrgyz Republic,KYR,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2011,39901405.90028739
Bangladesh,BAN,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2011,57881558.60141045
Solomon Islands,SOL,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2011,85189592.12074678
Fiji,FIJ,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2011,126788704.6426796
Myanmar,MYA,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2011,1761506324.5568757
"Gambia, The",GAM,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2011,303783695.5964408
Costa Rica,COS,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,25733850.54732216
Morocco,MOR,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2011,99073557.07611512
Costa Rica,COS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2011,205035821.144224
Argentina,ARG,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2011,617601044.4376932
St. Lucia,ST.,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2011,191695068.8732425
India,IND,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2011,543065755.4337133
Madagascar,MAD,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2011,139554451.70532495
Cameroon,CAM,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2011,1824940138.773836
Turkmenistan,TUR,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2011,1115423140.5628
Tonga,TON,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2011,362943565.9009276
Argentina,ARG,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,50445130.75069479
Togo,TOG,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2011,276918069.9719661
Eswatini,ESW,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2011,2774207130.567417
Ghana,GHA,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2011,138467573.32079956
Burundi,BUR,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2011,77645811.01444882
Afghanistan,AFG,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2011,702870277.9683594
Paraguay,PAR,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,13247568.84395296
India,IND,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,92927167.55576092
Sri Lanka,SRI,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2011,431832103.2271208
Benin,BEN,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2011,1043639.9276824822
"Venezuela, RB",VEN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2011,3611373347.226491
Colombia,COL,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2011,2057993642.3413084
"Congo, Dem. Rep.",CON,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2011,460394416.5676799
Jordan,JOR,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,1583244.5353000874
Sierra Leone,SIE,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2011,459605935.3129172
Bulgaria,BUL,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,14300258.510424633
Lao PDR,LAO,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2011,815747075.2644296
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2011,1166028656.9667358
Peru,PER,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,1591835091.814616
"Iran, Islamic Rep.",IRA,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2011,126021805.61957434
St. Lucia,ST.,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2011,427056295.8197437
Serbia,SER,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2011,224526257.1220647
Jordan,JOR,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2011,23665293.068359632
Tunisia,TUN,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2011,304513971.42847043
Ukraine,UKR,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2011,48330196.44172907
Mauritania,MAU,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2011,479209537.4943703
Mauritius,MAU,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2011,410515529.3891563
Thailand,THA,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2011,320828201.9770972
Burundi,BUR,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2011,65026680.21540514
Mongolia,MON,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2011,1214467093.2432196
Colombia,COL,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2011,2095283391.4521496
Guinea-Bissau,GUI,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2011,329469846.9567906
Madagascar,MAD,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2011,93841174.45280376
"Iran, Islamic Rep.",IRA,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,37175154.13020745
Guinea,GUI,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,5559542.165928872
Mali,MAL,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2011,48375466.80939821
Cambodia,CAM,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,14881976.432989905
Lao PDR,LAO,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,1139059602.0030272
Benin,BEN,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2011,5805052.922557017
Guyana,GUY,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2011,540689402.0362281
Serbia,SER,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2011,2325766089.0151205
Guyana,GUY,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2011,1161552146.4242291
Argentina,ARG,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2011,390757970.6131287
Samoa,SAM,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2011,1587249.0688741184
South Africa,SOU,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,343561954.03706723
Comoros,COM,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2011,76078157.86939785
Ghana,GHA,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2011,206983178.4079713
St. Vincent and the Grenadines,ST.,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2011,171008739.61078236
Vietnam,VIE,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2011,86584925.1677757
Algeria,ALG,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2011,67390855.16945857
Syrian Arab Republic,SYR,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2011,386088817.8940324
Eswatini,ESW,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2011,298089524.2073756
Bosnia and Herzegovina,BOS,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2011,47902585.71596087
Bangladesh,BAN,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2011,16727426.802290993
Lesotho,LES,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,2011,222660653.8728463
North Macedonia,NOR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2011,219344534.37479395
Liberia,LIB,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2011,111878864.86858767
Benin,BEN,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2011,7289439.613455731
Turkmenistan,TUR,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,1068126182.6087784
Serbia,SER,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2011,662462447.9831773
St. Lucia,ST.,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,96615894.29919928
Afghanistan,AFG,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2011,733832609.155654
China,CHI,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2011,802881990.1359408
Paraguay,PAR,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2011,69916007.01555742
Bulgaria,BUL,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,6985462.569484835
St. Vincent and the Grenadines,ST.,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,22168487.00898266
"Yemen, Rep.",YEM,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,280696979.40311205
Senegal,SEN,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2011,21755639.84259334
Eswatini,ESW,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2011,1200078259.006143
Albania,ALB,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,230417377.30608964
Turkmenistan,TUR,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,179244750.19020253
Gabon,GAB,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2011,11681754065.94028
Uzbekistan,UZB,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2011,163461760.86287108
Bolivia,BOL,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,1691790193.0006194
Kazakhstan,KAZ,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,93572724.9224102
Sierra Leone,SIE,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,747270051.4785202
Jordan,JOR,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2011,3029220.6293421607
Burundi,BUR,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2011,44122826.28613399
Dominica,DOM,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2011,190020737.6603776
Mexico,MEX,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,2011,55706162.59178732
Ethiopia,ETH,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2011,63447186.09236805
Pakistan,PAK,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,2011,572562396.9118682
Mozambique,MOZ,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,2011,430216167.2808456
Cabo Verde,CAB,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2011,1253807999.993195
El Salvador,EL ,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2011,149254297.21387455
Belize,BEL,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,2011,67895433.37598881
Mozambique,MOZ,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2011,157850995.34897265
Cambodia,CAM,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2011,91301194.12525928
Argentina,ARG,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2011,423987801.12377685
Rwanda,RWA,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2011,53313411.256871946
Algeria,ALG,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2011,638849223.2524076
Comoros,COM,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,2011,320225603.4584649
Haiti,HAI,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2011,43372983.46344323
Belize,BEL,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,2011,66037153.91319949
"Iran, Islamic Rep.",IRA,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2011,124746212.4458568
Malawi,MAL,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2011,1022750235.8430964
Mozambique,MOZ,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,896130052.4877033
Samoa,SAM,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,2011,9325349.40240935
Mozambique,MOZ,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2011,893615444.5200521
Tajikistan,TAJ,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2011,588619842.1802005
Guyana,GUY,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,2011,1236093046.3150434
"Congo, Rep.",CON,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2011,228191507.5565841
Ukraine,UKR,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2011,8620015.552014122
Benin,BEN,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2011,888880.1570281236
Thailand,THA,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2011,844817330.1936413
Uganda,UGA,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2011,164879244.69822347
Lao PDR,LAO,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2011,1107903581.3510756
Benin,BEN,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,2011,5618245.783273742
Montenegro,MON,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,2011,499101954.5760268
North Macedonia,NOR,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,2011,59456710.41770393
Syrian Arab Republic,SYR,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,2011,842174212.6121047
Cote d'Ivoire,COT,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,2011,688230753.1185664
